Experimental dataset for Wang et al. "Phosphorus limitation enhances diazotroph zinc quotas"																				

Treatment 1	Treatment 2	Day	Fo	Fm	APA(然 P/h)	Counting(filaments/ml) Chla(mg/m3)	DIN(然)	DIP(然)	TON(然)	TOP(然)	DON(然)	DOP(然)	PON(然)	POC(然)	POP(然)	Mn(然)	Fe(然)	Zn(然)	Cu(然)	Ni(然)	Co(然)	Mo(然)
DIP	P1	0	5.222	8.224	0.311	870	7.88	0.112	1.017	46.608	0.938	46.496	-0.08	79.199	494.818	2.711	0.00346	0.04425	0.00441	0.00205	0.00092	0.00013	0.00102
DIP	P2	0	6.389	10.04	0.289	1355	9.16	0.124	0.972	46.669	1.26	46.545	0.288	74.399	476.572	3.81	0.00497	0.03199	0.01277	0.00326	0.00095	0.00014	0.00144
DIP	P3	0	7.403	12.23	0.464	445	14.25	0.412	0.31	47.508	0.343	47.096	0.033	92.05	588.255	3.223	0.00323	0.02114	0.00522	0.00196	0.00086	0.00011	0.00088
MPA	M1	0	6.917	12.01	0.382	895	16.38	0.097	0.978	45.239	0.977	45.142	-0.002	74.261	460.748	2.8	0.00331	0.02087	0.00483	0.00219	0.00074	0.0001	0.00086
MPA	M2	0	5.491	8.966	0.326	1180	18.15	0.083	1.388	49.828	1.365	49.745	-0.024	67.973	410.127	2.478	0.00297	0.01906	0.00486	0.00184	0.00072	0.0001	0.00091
MPA	M3	0	4.876	7.807	0.375	1050	9.32	0.063	1.464	45.971	1.475	45.908	0.011	60.343	395.61	2.925	0.00424	0.01775	0.00878	0.00231	0.00067	0.0001	0.00132
DIP	P1	3	4.124	6.638	0.269	1520	5.45	0.266	0.8	16.622	0.567	16.356	-0.234	74.677	465.845	2.896	0.00367	0.01974	0.01254	0.00284	0.00089	0.00009	0.00126
DIP	P2	3	3.201	4.941	0.267	1470	8.1	0.057	1.167	47.093	1.013	47.036	-0.155	62.59	386.235	2.845	0.00318	0.01721	0.00863	0.00193	0.00088	0.00012	0.00103
DIP	P3	3	8.089	14.37	0.464	2535	8.74	0.149	0.231	47.492	0.126	47.343	-0.106	95.247	611.762	3.586	0.00599	0.02092	0.00785	0.00357	0.00205	0.00016	0.00173
MPA	M1	3	6.107	10.83	0.407	1630	12.85	0.057	0.031	45.236	1.07	45.179	1.039	88.037	518.687	2.748	0.00389	0.02085	0.00494	0.00233	0.00104	0.00011	0.00113
MPA	M2	3	5.544	9.322	0.343	1600	4.59	0.043	0.023	46.376	1.141	46.333	1.118	70.851	433.5	3.413	0.0036	0.01777	0.00615	0.0022	0.00104	0.00011	0.00108
